dataset,N,edge_count,true_eta,true_rho,graph_size_bin,parameter,posterior_z
109,292,853,0.4336,0.4095,"(217.5, 299.0]",sigma2_w,-0.0811
110,248,726,0.1823,0.5892,"(217.5, 299.0]",sigma2_w,-0.0042
111,65,182,0.5444,0.7578,"(39.9999, 95.75]",sigma2_w,1.5187
112,68,189,0.6415,0.1861,"(39.9999, 95.75]",sigma2_w,1.8901
113,66,185,0.3218,0.2231,"(39.9999, 95.75]",sigma2_w,1.2384
114,94,267,0.4818,0.1468,"(39.9999, 95.75]",sigma2_w,0.3677
115,199,578,0.1521,0.6919,"(155.0, 217.5]",sigma2_w,-0.5015
116,43,118,0.2723,0.9100,"(39.9999, 95.75]",sigma2_w,-0.3237
117,202,590,0.1786,0.4696,"(155.0, 217.5]",sigma2_w,-0.0161
118,295,864,0.6302,0.9451,"(217.5, 299.0]",sigma2_w,-0.5053
119,274,802,0.5305,0.2928,"(217.5, 299.0]",sigma2_w,0.7084
120,231,678,0.1599,0.4551,"(217.5, 299.0]",sigma2_w,-0.7759
121,224,656,0.0176,0.7098,"(217.5, 299.0]",sigma2_w,-0.8109
122,165,478,0.5115,0.5050,"(155.0, 217.5]",sigma2_w,-0.8325
123,145,418,0.0230,0.7119,"(95.75, 155.0]",sigma2_w,-0.0996
124,143,413,0.3613,0.2327,"(95.75, 155.0]",sigma2_w,-0.7927
125,113,324,0.3103,0.0421,"(95.75, 155.0]",sigma2_w,-0.1452
126,215,629,0.3460,0.7358,"(155.0, 217.5]",sigma2_w,-0.0745
127,183,534,0.2015,0.7198,"(155.0, 217.5]",sigma2_w,-0.0717
128,242,708,0.4016,0.4818,"(217.5, 299.0]",sigma2_w,0.2713
129,115,331,0.1302,0.3769,"(95.75, 155.0]",sigma2_w,-0.1050
130,152,440,0.6041,0.3100,"(95.75, 155.0]",sigma2_w,-1.1985
131,149,431,0.4284,0.3393,"(95.75, 155.0]",sigma2_w,-0.5309
132,178,517,0.1166,0.2312,"(155.0, 217.5]",sigma2_w,1.3774
133,173,502,0.5117,0.1302,"(155.0, 217.5]",sigma2_w,-0.2337
134,147,424,0.6776,0.2550,"(95.75, 155.0]",sigma2_w,-0.1451
135,247,725,0.4252,0.8633,"(217.5, 299.0]",sigma2_w,2.1258
136,95,271,0.3981,0.7290,"(39.9999, 95.75]",sigma2_w,0.6272
137,177,514,0.4172,0.4975,"(155.0, 217.5]",sigma2_w,-0.4908
138,76,211,0.2371,0.5072,"(39.9999, 95.75]",sigma2_w,-1.1680
139,217,637,0.0318,0.3087,"(155.0, 217.5]",sigma2_w,-0.6925
140,216,633,0.0516,0.5422,"(155.0, 217.5]",sigma2_w,0.4709
141,116,333,0.3870,0.8938,"(95.75, 155.0]",sigma2_w,0.1627
142,177,512,0.2476,0.5433,"(155.0, 217.5]",sigma2_w,-0.4376
143,148,429,0.3529,0.1681,"(95.75, 155.0]",sigma2_w,-0.5275
144,248,726,0.3976,0.5305,"(217.5, 299.0]",sigma2_w,-0.4915
